concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason	
60000005	3036277	Concept replaced by	20220128	20991231	
60000027	3002314	Concept replaced by	20220128	20991231	
60000002	3004249	Concept replaced by	20220128	20991231	
60000003	3012888	Concept replaced by	20220128	20991231	
60000004	3025315	Concept replaced by	20220128	20991231	
60000006	3038553	Concept replaced by	20220128	20991231	
60000270	35225292	Concept replaced by	20220128	20991231	
60000014	4038503	Concept replaced by	20220128	20991231	
60000020	4154500	Concept replaced by	20220128	20991231	
60000021	40309415	Concept replaced by	20220128	20991231	
60000022	43054923	Concept replaced by	20220128	20991231	
70000031	4152200	Concept replaced by	20220128	20991231	
70000032	4096384	Concept replaced by	20220128	20991231	
70000033	1175142	Concept replaced by	20220128	20991231	
70000035	40767414	Concept replaced by	20220128	20991231	
70000036	1002089	Concept replaced by	20220128	20991231	
70000039	4259354	Concept replaced by	20220128	20991231	
70000040	3011043	Concept replaced by	20220128	20991231	
70000041	46234793	Concept replaced by	20220128	20991231	
70000152	1571690	Concept replaced by	20220128	20991231	
70000153	35209299	Concept replaced by	20220128	20991231	
80000104	35225122	Concept replaced by	20220128	20991231	
60000273	35225163	Concept replaced by	20220128	20991231	
60000006	3038553	Concept replaced by	20220128	20991231	
70000152	1571690	Concept replaced by	20220128	20991231	
70000153	35209299	Concept replaced by	20220128	20991231	
60000028	37017066	Concept replaced by	20220128	20991231	
70000086	4266234	Concept replaced by	20220128	20991231	
70000099	35205624	Concept replaced by	20220128	20991231	
60000001	4078008	Concept replaced by	20220128	20991231	
70000087	46271860	Concept replaced by	20220128	20991231	
70000089	4064903	Concept replaced by	20220128	20991231	
70000081	42870173	Concept replaced by	20220128	20991231	
70000075	3051025	Concept replaced by	20220128	20991231	
70000068	35210683	Concept replaced by	20220128	20991231	
70000067	42538171	Concept replaced by	20220128	20991231	
70000065	40769377	Concept replaced by	20220128	20991231	
70000100	196523	Concept replaced by	20220128	20991231	
70000101	79072	Concept replaced by	20220128	20991231	
70000057	1002089	Concept replaced by	20220128	20991231	
70000093	46272591	Concept replaced by	20220128	20991231	
70000102	317376	Concept replaced by	20220128	20991231	
70000104	4047791	Concept replaced by	20220128	20991231	
70000106	35210660	Concept replaced by	20220128	20991231	
70000107	435740	Concept replaced by	20220128	20991231	
70000108	137977	Concept replaced by	20220128	20991231	
70000094	4013514	Concept replaced by	20220128	20991231	
80000042	4099223	Concept replaced by	20220128	20991231	
60000224	4104356	Concept replaced by	20220128	20991231	
70000126	45960318	Concept replaced by	20220128	20991231	
70000130	45959888	Concept replaced by	20220128	20991231	
70000137	3656177	Concept replaced by	20220128	20991231	
70000052	1034424	Concept replaced by	20220128	20991231	
70000051	36204220	Concept replaced by	20220128	20991231	
70000048	4014439	Concept replaced by	20220128	20991231	
80000021	4008253	Concept replaced by	20220128	20991231	
60000201	4009006	Concept replaced by	20220128	20991231	
60000202	4013993	Concept replaced by	20220128	20991231	
80000037	4237761	Concept replaced by	20220128	20991231	
80000011	4013995	Concept replaced by	20220128	20991231	
80000024	4013540	Concept replaced by	20220128	20991231	
80000020	4013258	Concept replaced by	20220128	20991231	
80000025	42537336	Concept replaced by	20220128	20991231	
80000013	42539075	Concept replaced by	20220128	20991231	
80000063	42868831	Concept replaced by	20220128	20991231	
80000064	3043375	Concept replaced by	20220128	20991231	
80000058	3044773	Concept replaced by	20220128	20991231	
60000255	4129922	Concept replaced by	20220128	20991231	
80000005	4174678	Concept replaced by	20220128	20991231	
60000258	4152200	Concept replaced by	20220128	20991231	
60000257	4218938	Concept replaced by	20220128	20991231	
60000256	4032626	Concept replaced by	20220128	20991231	
80000067	42709743	Concept replaced by	20220128	20991231	
80000054	443929	Concept replaced by	20220128	20991231	
80000026	434089	Concept replaced by	20220128	20991231	
80000061	193827	Concept replaced by	20220128	20991231	
80000068	1571656	Concept replaced by	20220128	20991231	
80000060	35209551	Concept replaced by	20220128	20991231	
80000097	4218428	Concept replaced by	20220128	20991231	
80000100	4018603	Concept replaced by	20220128	20991231	
80000098	4198135	Concept replaced by	20220128	20991231	
80000099	4194396	Concept replaced by	20220128	20991231	
80000102	4218428	Concept replaced by	20220128	20991231	
80000027	4013106	Concept replaced by	20220128	20991231	
60000203	4013105	Concept replaced by	20220128	20991231	
80000006	441641	Concept replaced by	20220128	20991231	
60000259	193277	Concept replaced by	20220128	20991231	
70000085	4287767	Concept replaced by	20220128	20991231	
80000066	35209565	Concept replaced by	20220128	20991231	
70000098	4077352	Concept replaced by	20220128	20991231	
80000038	4210037	Concept replaced by	20220128	20991231	
80000039	4154112	Concept replaced by	20220128	20991231	
80000069	440167	Concept replaced by	20220128	20991231	
80000072	4319897	Concept replaced by	20220128	20991231	
80000071	132797	Concept replaced by	20220128	20991231	
80000073	4297250	Concept replaced by	20220128	20991231	
60000277	45587269	Concept replaced by	20220128	20991231	
80000028	4034159	Concept replaced by	20220128	20991231	
80000050	4028787	Concept replaced by	20220128	20991231	
70000062	46272635	Concept replaced by	20220128	20991231	
70000060	4015149	Concept replaced by	20220128	20991231	
80000031	4014280	Concept replaced by	20220128	20991231	
80000019	4171115	Concept replaced by	20220128	20991231	
60000238	37204094	Concept replaced by	20220128	20991231	
80000032	4084843	Concept replaced by	20220128	20991231	
80000018	40329222	Concept replaced by	20220128	20991231	
60000242	1575156	Concept replaced by	20220128	20991231	
60000243	45536996	Concept replaced by	20220128	20991231	
60000244	35211387	Concept replaced by	20220128	20991231	
60000245	35211275	Concept replaced by	20220128	20991231	
60000246	35211388	Concept replaced by	20220128	20991231	
60000247	45577807	Concept replaced by	20220128	20991231	
60000248	45534458	Concept replaced by	20220128	20991231	
